,ds,y
164,1994-02-03,28.171165466308594
165,1994-02-04,27.53008460998535
166,1994-02-07,27.658287048339844
167,1994-02-08,27.676620483398438
168,1994-02-09,27.786529541015625
169,1994-02-10,27.548404693603516
170,1994-02-11,27.63998031616211
171,1994-02-14,27.676620483398438
172,1994-02-15,27.82315444946289
173,1994-02-16,27.80484962463379
174,1994-02-17,27.63998031616211
175,1994-02-18,27.475126266479492
176,1994-02-22,27.749879837036133
177,1994-02-23,27.676620483398438
178,1994-02-24,27.310283660888672
179,1994-02-25,27.43849754333496
180,1994-02-28,27.43849754333496
181,1994-03-01,27.328596115112305
182,1994-03-02,27.365236282348633
183,1994-03-03,27.291973114013672
184,1994-03-04,27.365236282348633
185,1994-03-07,27.511764526367188
186,1994-03-08,27.401878356933594
187,1994-03-09,27.53008460998535
